Timestamp,Elapsed(s),Power(W),Fan(RPM),Temp_core0(C),Temp_core1(C),Temp_core2(C),Temp_core3(C),Temp_core4(C),Temp_core5(C),Temp_core6(C),Temp_core7(C)
17:16:29,66.3,3.63,1002,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:16:30,67.3,3.32,1002,36.0,35.0,35.0,35.0,34.0,36.0,33.0,35.0
17:16:31,68.3,3.38,1002,36.0,35.0,35.0,35.0,35.0,36.0,34.0,34.0
17:16:32,69.3,3.22,1002,36.0,35.0,35.0,35.0,35.0,36.0,34.0,34.0
17:16:33,70.3,3.28,1002,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:16:34,71.3,3.61,1002,37.0,34.0,34.0,35.0,35.0,36.0,33.0,35.0
17:16:35,72.3,3.21,1003,36.0,34.0,35.0,35.0,34.0,36.0,34.0,34.0
17:16:37,73.3,3.20,1002,36.0,35.0,35.0,35.0,34.0,36.0,34.0,35.0
17:16:38,74.3,3.30,1002,36.0,35.0,34.0,35.0,35.0,36.0,34.0,35.0
17:16:39,75.3,3.22,1002,37.0,35.0,35.0,35.0,35.0,37.0,34.0,35.0
17:16:40,76.3,3.74,1002,37.0,35.0,35.0,35.0,35.0,37.0,34.0,35.0
17:16:41,77.3,3.49,1003,36.0,35.0,35.0,35.0,35.0,36.0,35.0,35.0
17:16:42,78.3,3.23,1002,36.0,35.0,35.0,35.0,35.0,36.0,33.0,35.0
17:16:43,79.3,4.21,1002,36.0,35.0,35.0,35.0,34.0,36.0,34.0,35.0
17:16:44,80.3,3.16,1002,36.0,34.0,35.0,35.0,34.0,36.0,34.0,35.0
17:16:45,81.3,3.54,1002,36.0,35.0,35.0,35.0,34.0,36.0,33.0,35.0
17:16:46,82.3,3.20,1003,36.0,35.0,34.0,35.0,35.0,36.0,34.0,34.0
17:16:47,83.3,3.37,1003,36.0,35.0,35.0,35.0,34.0,36.0,34.0,34.0
17:16:48,84.3,3.51,1003,36.0,35.0,34.0,35.0,34.0,36.0,34.0,35.0
17:16:49,85.3,3.19,1003,36.0,35.0,34.0,36.0,35.0,36.0,34.0,35.0
17:16:50,86.3,3.72,1002,36.0,35.0,35.0,36.0,35.0,36.0,34.0,35.0
17:16:51,87.3,3.24,1003,36.0,34.0,35.0,35.0,34.0,36.0,34.0,35.0
17:16:52,88.3,3.24,1004,36.0,34.0,35.0,35.0,34.0,36.0,34.0,35.0
17:16:53,89.4,3.15,1003,36.0,35.0,35.0,34.0,34.0,36.0,34.0,35.0
17:16:54,90.4,3.37,1003,36.0,35.0,35.0,35.0,35.0,36.0,33.0,35.0
17:16:55,91.4,3.61,1003,36.0,34.0,35.0,35.0,35.0,36.0,33.0,35.0
17:16:56,92.4,3.48,1002,36.0,35.0,35.0,34.0,34.0,36.0,34.0,35.0
17:16:57,93.4,3.49,1003,36.0,34.0,35.0,35.0,35.0,36.0,33.0,35.0
17:16:58,94.4,3.20,1003,36.0,34.0,34.0,35.0,34.0,36.0,33.0,35.0
17:16:59,95.4,3.40,1003,36.0,34.0,35.0,35.0,35.0,36.0,33.0,35.0
17:17:00,96.4,3.78,1002,36.0,35.0,35.0,35.0,35.0,36.0,35.0,35.0
17:17:01,97.4,3.32,1002,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:17:02,98.4,3.49,1003,36.0,34.0,35.0,35.0,35.0,36.0,34.0,35.0
17:17:03,99.4,3.40,1003,36.0,34.0,35.0,35.0,34.0,36.0,34.0,35.0
17:17:04,100.4,3.56,1003,36.0,35.0,35.0,35.0,35.0,36.0,35.0,35.0
17:17:05,101.4,3.52,1003,36.0,35.0,35.0,35.0,34.0,36.0,34.0,35.0
17:17:06,102.4,3.31,1002,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:17:07,103.4,3.39,1003,36.0,34.0,34.0,35.0,35.0,36.0,34.0,35.0
17:17:08,104.4,3.52,1003,36.0,35.0,35.0,35.0,35.0,36.0,34.0,34.0
17:17:09,105.4,3.37,1003,36.0,35.0,34.0,34.0,34.0,36.0,34.0,35.0
17:17:10,106.4,3.36,1003,36.0,34.0,35.0,36.0,35.0,36.0,34.0,34.0
17:17:11,107.4,5.02,1003,36.0,35.0,35.0,35.0,34.0,36.0,34.0,35.0
17:17:12,108.4,3.32,1003,36.0,34.0,35.0,35.0,35.0,36.0,34.0,35.0
17:17:13,109.4,3.11,1003,36.0,35.0,35.0,35.0,35.0,36.0,33.0,35.0
17:17:14,110.4,3.27,1004,36.0,34.0,35.0,35.0,35.0,36.0,34.0,35.0
17:17:15,111.4,3.39,1003,36.0,34.0,35.0,35.0,35.0,36.0,34.0,35.0
17:17:16,112.4,3.08,1003,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:17:17,113.4,3.21,1003,37.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:17:18,114.5,3.22,1004,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:17:19,115.5,3.24,1003,36.0,35.0,35.0,35.0,35.0,36.0,33.0,35.0
17:17:20,116.5,3.60,1004,36.0,35.0,35.0,34.0,34.0,36.0,34.0,35.0
17:17:21,117.5,3.17,1003,36.0,34.0,35.0,35.0,34.0,37.0,34.0,35.0
17:17:22,118.5,3.16,1003,36.0,35.0,35.0,35.0,34.0,36.0,34.0,35.0
17:17:23,119.5,3.20,1003,36.0,35.0,35.0,35.0,34.0,36.0,34.0,34.0
17:17:24,120.5,3.30,1003,36.0,35.0,35.0,36.0,34.0,36.0,33.0,35.0
17:17:25,121.5,3.50,1004,36.0,34.0,35.0,35.0,34.0,36.0,34.0,35.0
